Source	Target	Weight
1	2	9991.87203779772
1	3	52.0246580794565
1	6	52.0246580794565
2	1	9991.87203779772
3	4	471.094060155111
3	1	52.0246580794565
3	6	52.0246580794565
4	3	471.094060155111
5	6	3074.37377090565
6	5	3074.37377090565
6	1	52.0246580794565
6	3	52.0246580794565
7	8	701.551619208519
8	7	701.551619208519
9	10	1205.61743266199
9	12	47.5253247133091
10	9	1205.61743266199
10	75	33.6849328385492
11	12	125.682322272591
12	11	125.682322272591
12	9	47.5253247133091
13	14	902.975184639961
13	15	3596.1661540999
13	30	953.861936143604
14	13	902.975184639961
15	13	3596.1661540999
15	18	735.576544805562
15	37	769.770439407653
18	15	735.576544805562
18	20	283.358159192488
18	21	265.87832390423
20	18	283.358159192488
21	18	265.87832390423
23	24	298.59720732096
24	23	298.59720732096
24	28	350.955863497146
24	40	343.680822013475
25	26	222.072051211435
25	33	331.900382616418
25	82	778.763944712403
26	25	222.072051211435
28	24	350.955863497146
28	30	416.766590385795
28	70	226.710336326107
30	13	953.861936143604
30	31	608.923293262094
30	28	416.766590385795
31	30	608.923293262094
33	25	331.900382616418
33	45	152.247892796668
33	68	171.9136103067
37	15	769.770439407653
37	42	106.123040972253
37	52	88.6341189982133
40	24	343.680822013475
40	49	828.409155432131
40	70	434.939342605102
41	42	627.881795201854
42	41	627.881795201854
42	37	106.123040972253
42	52	114.089141692028
45	33	152.247892796668
45	47	140.442191306143
45	78	179.871324534797
47	45	140.442191306143
49	40	828.409155432131
49	73	238.958314957203
49	86	1234.43090727365
52	42	114.089141692028
52	37	88.6341189982133
52	89	213.226373597951
55	56	705.269376704669
55	58	1204.16498034283
55	60	7.75813525578765
55	64	24.249308961781
56	55	705.269376704669
58	55	1204.16498034283
59	60	209.768449194608
59	39393	163.763707367511
60	59	209.768449194608
60	55	7.75813525578765
60	64	24.0709951776526
64	60	24.0709951776526
64	55	24.249308961781
64	128	676.425078592068
68	33	171.9136103067
70	40	434.939342605102
70	28	226.710336326107
70	86	131.611588645347
73	49	238.958314957203
75	76	4470.7915418555
75	10	33.6849328385492
76	75	4470.7915418555
76	131	44.534633562083
78	45	179.871324534797
78	82	871.004088056465
78	122	499.002735454272
79	80	39.7222865409102
80	79	39.7222865409102
82	25	778.763944712403
82	84	148.316442611181
82	78	871.004088056465
84	82	148.316442611181
86	70	131.611588645347
86	49	1234.43090727365
86	106	295.079396386243
89	52	213.226373597951
89	93	262.168187508227
89	109	355.25738273477
93	89	262.168187508227
93	96	177.811499188918
93	109	397.759876681675
93	113	301.799030246677
96	93	177.811499188918
97	98	1890.52937037033
98	97	1890.52937037033
99	100	5781.16805061041
99	152	58.968055604466
100	99	5781.16805061041
100	39388	131.799131005175
101	102	536.862389714883
102	101	536.862389714883
103	104	42.7058605169632
103	132	4984.3370079288
103	344	853.091524353708
104	103	42.7058605169632
104	107	139.05613672843
106	86	295.079396386243
106	119	74.8034922267068
107	108	191.893813047934
107	104	139.05613672843
108	107	191.893813047934
109	89	355.25738273477
109	93	397.759876681675
109	299	608.213615967398
113	93	301.799030246677
115	116	616.396317385181
116	115	616.396317385181
116	125	54.9704251844068
117	118	851.77719815894
117	119	63.1268137987615
117	480	1268.99199040408
118	117	851.77719815894
119	117	63.1268137987615
119	106	74.8034922267068
122	78	499.002735454272
123	124	187.672876846712
124	123	187.672876846712
125	126	8.23263493205634
125	116	54.9704251844068
126	125	8.23263493205634
126	128	1133.00098897817
126	172	301.2996879704
128	64	676.425078592068
128	126	1133.00098897817
128	280	1402.88286256469
128	364	776.391133986312
131	132	854.681639683635
131	76	44.534633562083
